Date,Sample,Treatment,FLX_conc_ngL
7/11/2020,T1/H1,High,33
7/11/2020,T2/L1,Low,7.7
7/11/2020,T3/CTRL,Control,0
7/11/2020,T4/H2,High,310
7/11/2020,T5/L2,Low,5.2
7/11/2020,T6/CTRL,Control,0
7/11/2020,T7/L3,Low,5.9
7/11/2020,T9/H3,High,62
7/11/2020,T11/L4,Low,14
7/11/2020,T12/H4,High,54
10/11/2020,T1/H1,High,14
10/11/2020,T2/L1,Low,2.4
10/11/2020,T4/H2,High,15
10/11/2020,T5/L2,Low,5.7
10/11/2020,T7/L3,Low,1.8
10/11/2020,T8/CTRL3,Control,0
10/11/2020,T9/H3,High,44
10/11/2020,T10/CTRL4,Control,0
10/11/2020,T11/L4,Low,1.8
10/11/2020,T12/H4,High,6.5
18/11/2020,T1/H1,High,110
18/11/2020,T2/L1,Low,11
18/11/2020,T3/CTRL1,Control,0
18/11/2020,T4/H2,High,64
18/11/2020,T5/L2,Low,6.9
18/11/2020,T6/CTRL2,Control,0
18/11/2020,T7/L3,Low,9.1
18/11/2020,T9/H3,High,200
18/11/2020,T11/L4,Low,19
18/11/2020,T12/H4,High,140
25/11/2020,T1/H1,High,120
25/11/2020,T2/L1,Low,7
25/11/2020,T4/H2,High,70
25/11/2020,T5/L2,Low,7.6
25/11/2020,T7/L3,Low,8.5
25/11/2020,T8/CTRL3,Control,0
25/11/2020,T9/H3,High,170
25/11/2020,T10/CTRL4,Control,0
25/11/2020,T11/L4,Low,13
25/11/2020,T12/H4,High,150
2/12/2020,T1/H1,High,110
2/12/2020,T2/L1,Low,5.4
2/12/2020,T3/CTRL1,Control,0
2/12/2020,T4/H2,High,43
2/12/2020,T5/L2,Low,7.6
2/12/2020,T6/CTRL2,Control,0
2/12/2020,T7/L3,Low,39
2/12/2020,T9/H3,High,120
2/12/2020,T11/L4,Low,8.6
2/12/2020,T12/H4,High,100
9/12/2020,T1/H1,High,200
9/12/2020,T2/L1,Low,6
9/12/2020,T4/H2,High,63
9/12/2020,T5/L2,Low,19
9/12/2020,T7/L3,Low,6.8
9/12/2020,T8/CTRL3,Control,3.6
9/12/2020,T9/H3,High,130
9/12/2020,T10/CTRL4,Control,0
9/12/2020,T11/L4,Low,12
9/12/2020,T12/H4,High,130
